Name,Tuples,Data,Data-Original,RoundNearestTiesUp
hp,"(0, 1, 2, 0, 1)",985.88,985.88,986.0
hp,"(0, 1, 1, 2, 0)",985.89,985.89,986.0
hp,"(0, 2, 0, 1, 1)",985.89,985.89,986.0
hp,"(0, 0, 3, 0, 1)",1015.75,1015.75,1016.0
hp,"(0, 0, 2, 2, 0)",1015.76,1015.76,1016.0
hp,"(0, 1, 1, 1, 1)",1015.76,1015.76,1016.0
hp,"(0, 2, 0, 0, 2)",1015.76,1015.76,1016.0
hp,"(0, 1, 0, 3, 0)",1015.77,1015.77,1016.0
hp,"(0, 0, 2, 1, 1)",1045.63,1045.63,1046.0
hp,"(0, 1, 1, 0, 2)",1045.63,1045.63,1046.0
hp,"(0, 0, 1, 3, 0)",1045.64,1045.64,1046.0
hp,"(0, 1, 0, 2, 1)",1045.64,1045.64,1046.0
hp,"(0, 5, 0, 0, 0)",1045.65,1045.65,1046.0
hp,"(0, 0, 2, 0, 2)",1075.5,1075.5,1076.0
hp,"(0, 0, 1, 2, 1)",1075.51,1075.51,1076.0
hp,"(0, 1, 0, 1, 2)",1075.51,1075.51,1076.0
hp,"(0, 4, 1, 0, 0)",1075.52,1075.52,1076.0
hp,"(0, 0, 0, 4, 0)",1075.52,1075.52,1076.0
hp,"(0, 0, 1, 1, 2)",1105.38,1105.38,1105.0
hp,"(0, 1, 0, 0, 3)",1105.38,1105.38,1105.0
hp,"(0, 3, 2, 0, 0)",1105.39,1105.39,1105.0
hp,"(0, 0, 0, 3, 1)",1105.39,1105.39,1105.0
hp,"(0, 4, 0, 1, 0)",1105.4,1105.4,1105.0
hp,"(0, 0, 1, 0, 3)",1135.25,1135.25,1135.0
hp,"(0, 2, 3, 0, 0)",1135.26,1135.26,1135.0
hp,"(0, 0, 0, 2, 2)",1135.26,1135.26,1135.0
hp,"(0, 3, 1, 1, 0)",1135.27,1135.27,1135.0
hp,"(0, 4, 0, 0, 1)",1135.27,1135.27,1135.0
hp,"(0, 1, 4, 0, 0)",1165.13,1165.13,1165.0
hp,"(0, 0, 0, 1, 3)",1165.13,1165.13,1165.0
hp,"(0, 2, 2, 1, 0)",1165.14,1165.14,1165.0
hp,"(0, 3, 1, 0, 1)",1165.14,1165.14,1165.0
hp,"(0, 3, 0, 2, 0)",1165.15,1165.15,1165.0
hp,"(0, 0, 5, 0, 0)",1195.0,1195.0,1195.0
hp,"(0, 0, 0, 0, 4)",1195.0,1195.0,1195.0
hp,"(0, 1, 3, 1, 0)",1195.01,1195.01,1195.0
hp,"(0, 2, 2, 0, 1)",1195.01,1195.01,1195.0
hp,"(0, 2, 1, 2, 0)",1195.02,1195.02,1195.0
hp,"(0, 3, 0, 1, 1)",1195.02,1195.02,1195.0
hp,"(0, 0, 4, 1, 0)",1224.88,1224.88,1225.0
hp,"(0, 1, 3, 0, 1)",1224.88,1224.88,1225.0
hp,"(0, 1, 2, 2, 0)",1224.89,1224.89,1225.0
hp,"(0, 2, 1, 1, 1)",1224.89,1224.89,1225.0
hp,"(0, 3, 0, 0, 2)",1224.89,1224.89,1225.0
hp,"(0, 2, 0, 3, 0)",1224.9,1224.9,1225.0
hp,"(0, 0, 4, 0, 1)",1254.75,1254.75,1255.0
hp,"(0, 0, 3, 2, 0)",1254.76,1254.76,1255.0
hp,"(0, 1, 2, 1, 1)",1254.76,1254.76,1255.0
hp,"(0, 2, 1, 0, 2)",1254.76,1254.76,1255.0
hp,"(0, 1, 1, 3, 0)",1254.77,1254.77,1255.0
hp,"(0, 2, 0, 2, 1)",1254.77,1254.77,1255.0
hp,"(0, 6, 0, 0, 0)",1254.78,1254.78,1255.0
hp,"(0, 0, 3, 1, 1)",1284.63,1284.63,1285.0
hp,"(0, 1, 2, 0, 2)",1284.63,1284.63,1285.0
hp,"(0, 0, 2, 3, 0)",1284.64,1284.64,1285.0
hp,"(0, 1, 1, 2, 1)",1284.64,1284.64,1285.0
hp,"(0, 2, 0, 1, 2)",1284.64,1284.64,1285.0
hp,"(0, 5, 1, 0, 0)",1284.65,1284.65,1285.0
hp,"(0, 1, 0, 4, 0)",1284.65,1284.65,1285.0
hp,"(0, 0, 3, 0, 2)",1314.5,1314.5,1315.0
hp,"(0, 0, 2, 2, 1)",1314.51,1314.51,1315.0
hp,"(0, 1, 1, 1, 2)",1314.51,1314.51,1315.0
hp,"(0, 2, 0, 0, 3)",1314.51,1314.51,1315.0
hp,"(0, 4, 2, 0, 0)",1314.52,1314.52,1315.0
hp,"(0, 0, 1, 4, 0)",1314.52,1314.52,1315.0
hp,"(0, 1, 0, 3, 1)",1314.52,1314.52,1315.0
hp,"(0, 5, 0, 1, 0)",1314.53,1314.53,1315.0
hp,"(0, 0, 2, 1, 2)",1344.38,1344.38,1344.0
hp,"(0, 1, 1, 0, 3)",1344.38,1344.38,1344.0
hp,"(0, 3, 3, 0, 0)",1344.39,1344.39,1344.0
hp,"(0, 0, 1, 3, 1)",1344.39,1344.39,1344.0
hp,"(0, 1, 0, 2, 2)",1344.39,1344.39,1344.0
hp,"(0, 4, 1, 1, 0)",1344.4,1344.4,1344.0
hp,"(0, 0, 0, 5, 0)",1344.4,1344.4,1344.0
hp,"(0, 5, 0, 0, 1)",1344.4,1344.4,1344.0
hp,"(0, 0, 2, 0, 3)",1374.25,1374.25,1374.0
hp,"(0, 2, 4, 0, 0)",1374.26,1374.26,1374.0
hp,"(0, 0, 1, 2, 2)",1374.26,1374.26,1374.0
hp,"(0, 1, 0, 1, 3)",1374.26,1374.26,1374.0
hp,"(0, 3, 2, 1, 0)",1374.27,1374.27,1374.0
hp,"(0, 4, 1, 0, 1)",1374.27,1374.27,1374.0
hp,"(0, 0, 0, 4, 1)",1374.27,1374.27,1374.0
hp,"(0, 4, 0, 2, 0)",1374.28,1374.28,1374.0
hp,"(0, 1, 5, 0, 0)",1404.13,1404.13,1404.0
hp,"(0, 0, 1, 1, 3)",1404.13,1404.13,1404.0
hp,"(0, 1, 0, 0, 4)",1404.13,1404.13,1404.0
hp,"(0, 2, 3, 1, 0)",1404.14,1404.14,1404.0
hp,"(0, 3, 2, 0, 1)",1404.14,1404.14,1404.0
hp,"(0, 0, 0, 3, 2)",1404.14,1404.14,1404.0
hp,"(0, 3, 1, 2, 0)",1404.15,1404.15,1404.0
hp,"(0, 4, 0, 1, 1)",1404.15,1404.15,1404.0
hp,"(0, 0, 6, 0, 0)",1434.0,1434.0,1434.0
hp,"(0, 0, 1, 0, 4)",1434.0,1434.0,1434.0
hp,"(0, 1, 4, 1, 0)",1434.01,1434.01,1434.0
hp,"(0, 2, 3, 0, 1)",1434.01,1434.01,1434.0
hp,"(0, 0, 0, 2, 3)",1434.01,1434.01,1434.0
hp,"(0, 2, 2, 2, 0)",1434.02,1434.02,1434.0
hp,"(0, 3, 1, 1, 1)",1434.02,1434.02,1434.0
hp,"(0, 4, 0, 0, 2)",1434.02,1434.02,1434.0
hp,"(0, 3, 0, 3, 0)",1434.03,1434.03,1434.0
hp,"(0, 0, 5, 1, 0)",1463.88,1463.88,1464.0
hp,"(0, 1, 4, 0, 1)",1463.88,1463.88,1464.0
hp,"(0, 0, 0, 1, 4)",1463.88,1463.88,1464.0
hp,"(0, 1, 3, 2, 0)",1463.89,1463.89,1464.0
hp,"(0, 2, 2, 1, 1)",1463.89,1463.89,1464.0
hp,"(0, 3, 1, 0, 2)",1463.89,1463.89,1464.0
hp,"(0, 2, 1, 3, 0)",1463.9,1463.9,1464.0
hp,"(0, 3, 0, 2, 1)",1463.9,1463.9,1464.0
hp,"(0, 0, 5, 0, 1)",1493.75,1493.75,1494.0
hp,"(0, 0, 0, 0, 5)",1493.75,1493.75,1494.0
hp,"(0, 0, 4, 2, 0)",1493.76,1493.76,1494.0
hp,"(0, 1, 3, 1, 1)",1493.76,1493.76,1494.0
hp,"(0, 2, 2, 0, 2)",1493.76,1493.76,1494.0
hp,"(0, 1, 2, 3, 0)",1493.77,1493.77,1494.0
hp,"(0, 2, 1, 2, 1)",1493.77,1493.77,1494.0
hp,"(0, 3, 0, 1, 2)",1493.77,1493.77,1494.0
hp,"(0, 2, 0, 4, 0)",1493.78,1493.78,1494.0
hp,"(0, 0, 4, 1, 1)",1523.63,1523.63,1524.0
hp,"(0, 1, 3, 0, 2)",1523.63,1523.63,1524.0
hp,"(0, 0, 3, 3, 0)",1523.64,1523.64,1524.0
hp,"(0, 1, 2, 2, 1)",1523.64,1523.64,1524.0
hp,"(0, 2, 1, 1, 2)",1523.64,1523.64,1524.0
hp,"(0, 3, 0, 0, 3)",1523.64,1523.64,1524.0
hp,"(0, 1, 1, 4, 0)",1523.65,1523.65,1524.0
hp,"(0, 2, 0, 3, 1)",1523.65,1523.65,1524.0
hp,"(0, 0, 4, 0, 2)",1553.5,1553.5,1554.0
hp,"(0, 0, 3, 2, 1)",1553.51,1553.51,1554.0
hp,"(0, 1, 2, 1, 2)",1553.51,1553.51,1554.0
hp,"(0, 2, 1, 0, 3)",1553.51,1553.51,1554.0
hp,"(0, 0, 2, 4, 0)",1553.52,1553.52,1554.0
hp,"(0, 1, 1, 3, 1)",1553.52,1553.52,1554.0
hp,"(0, 2, 0, 2, 2)",1553.52,1553.52,1554.0
hp,"(0, 1, 0, 5, 0)",1553.53,1553.53,1554.0
hp,"(0, 0, 3, 1, 2)",1583.38,1583.38,1583.0
hp,"(0, 1, 2, 0, 3)",1583.38,1583.38,1583.0
hp,"(0, 0, 2, 3, 1)",1583.39,1583.39,1583.0
hp,"(0, 1, 1, 2, 2)",1583.39,1583.39,1583.0
hp,"(0, 2, 0, 1, 3)",1583.39,1583.39,1583.0
hp,"(0, 0, 1, 5, 0)",1583.4,1583.4,1583.0
hp,"(0, 1, 0, 4, 1)",1583.4,1583.4,1583.0
hp,"(0, 0, 3, 0, 3)",1613.25,1613.25,1613.0
hp,"(0, 0, 2, 2, 2)",1613.26,1613.26,1613.0
hp,"(0, 1, 1, 1, 3)",1613.26,1613.26,1613.0
hp,"(0, 2, 0, 0, 4)",1613.26,1613.26,1613.0
hp,"(0, 0, 1, 4, 1)",1613.27,1613.27,1613.0
hp,"(0, 1, 0, 3, 2)",1613.27,1613.27,1613.0
hp,"(0, 0, 0, 6, 0)",1613.28,1613.28,1613.0
hp,"(0, 0, 2, 1, 3)",1643.13,1643.13,1643.0
hp,"(0, 1, 1, 0, 4)",1643.13,1643.13,1643.0
hp,"(0, 0, 1, 3, 2)",1643.14,1643.14,1643.0
hp,"(0, 1, 0, 2, 3)",1643.14,1643.14,1643.0
hp,"(0, 0, 0, 5, 1)",1643.15,1643.15,1643.0
hp,"(0, 0, 2, 0, 4)",1673.0,1673.0,1673.0
hp,"(0, 0, 1, 2, 3)",1673.01,1673.01,1673.0
hp,"(0, 1, 0, 1, 4)",1673.01,1673.01,1673.0
hp,"(0, 0, 0, 4, 2)",1673.02,1673.02,1673.0
hp,"(0, 0, 1, 1, 4)",1702.88,1702.88,1703.0
hp,"(0, 1, 0, 0, 5)",1702.88,1702.88,1703.0
hp,"(0, 0, 0, 3, 3)",1702.89,1702.89,1703.0
hp,"(0, 0, 1, 0, 5)",1732.75,1732.75,1733.0
hp,"(0, 0, 0, 2, 4)",1732.76,1732.76,1733.0
hp,"(0, 0, 0, 1, 5)",1762.63,1762.63,1763.0
hp,"(0, 0, 0, 0, 6)",1792.5,1792.5,1793.0
hp_percent,"(0, 1, 0, 0, 0)",0.0408,0.0408,0.041
hp_percent,"(0, 0, 1, 0, 0)",0.0466,0.0466,0.047
hp_percent,"(0, 0, 0, 1, 0)",0.0525,0.0525,0.053
hp_percent,"(0, 0, 0, 0, 1)",0.0583,0.0583,0.058
hp_percent,"(0, 2, 0, 0, 0)",0.0816,0.0816,0.082
hp_percent,"(0, 1, 1, 0, 0)",0.0874,0.087400004,0.087
hp_percent,"(0, 0, 2, 0, 0)",0.0932,0.0932,0.093
hp_percent,"(0, 1, 0, 1, 0)",0.0933,0.0933,0.093
hp_percent,"(0, 0, 1, 1, 0)",0.0991,0.09909999,0.099
hp_percent,"(0, 1, 0, 0, 1)",0.0991,0.0991,0.099
hp_percent,"(0, 0, 1, 0, 1)",0.1049,0.1049,0.105
hp_percent,"(0, 0, 0, 2, 0)",0.105,0.105,0.105
hp_percent,"(0, 0, 0, 1, 1)",0.1108,0.1108,0.111
hp_percent,"(0, 0, 0, 0, 2)",0.1166,0.1166,0.117
hp_percent,"(0, 3, 0, 0, 0)",0.1224,0.1224,0.122
hp_percent,"(0, 2, 1, 0, 0)",0.1282,0.1282,0.128
hp_percent,"(0, 1, 2, 0, 0)",0.134,0.134,0.134
hp_percent,"(0, 2, 0, 1, 0)",0.1341,0.1341,0.134
hp_percent,"(0, 0, 3, 0, 0)",0.1398,0.1398,0.14
hp_percent,"(0, 1, 1, 1, 0)",0.1399,0.1399,0.14
hp_percent,"(0, 2, 0, 0, 1)",0.1399,0.1399,0.14
hp_percent,"(0, 0, 2, 1, 0)",0.1457,0.1457,0.146
hp_percent,"(0, 1, 1, 0, 1)",0.1457,0.14570001,0.146
hp_percent,"(0, 1, 0, 2, 0)",0.1458,0.1458,0.146
hp_percent,"(0, 0, 2, 0, 1)",0.1515,0.1515,0.152
hp_percent,"(0, 0, 1, 2, 0)",0.1516,0.1516,0.152
hp_percent,"(0, 1, 0, 1, 1)",0.1516,0.1516,0.152
hp_percent,"(0, 0, 1, 1, 1)",0.1574,0.1574,0.157
hp_percent,"(0, 1, 0, 0, 2)",0.1574,0.1574,0.157
hp_percent,"(0, 0, 0, 3, 0)",0.1575,0.1575,0.158
hp_percent,"(0, 0, 1, 0, 2)",0.1632,0.16319999,0.163
hp_percent,"(0, 4, 0, 0, 0)",0.1632,0.1632,0.163
hp_percent,"(0, 0, 0, 2, 1)",0.1633,0.1633,0.163
hp_percent,"(0, 3, 1, 0, 0)",0.169,0.169,0.169
hp_percent,"(0, 0, 0, 1, 2)",0.1691,0.1691,0.169
hp_percent,"(0, 2, 2, 0, 0)",0.1748,0.17480001,0.175
hp_percent,"(0, 3, 0, 1, 0)",0.1749,0.1749,0.175
hp_percent,"(0, 0, 0, 0, 3)",0.1749,0.1749,0.175
hp_percent,"(0, 1, 3, 0, 0)",0.1806,0.1806,0.181
hp_percent,"(0, 2, 1, 1, 0)",0.1807,0.18069999,0.181
hp_percent,"(0, 3, 0, 0, 1)",0.1807,0.1807,0.181
hp_percent,"(0, 0, 4, 0, 0)",0.1864,0.1864,0.186
hp_percent,"(0, 1, 2, 1, 0)",0.1865,0.1865,0.187
hp_percent,"(0, 2, 1, 0, 1)",0.1865,0.1865,0.187
hp_percent,"(0, 2, 0, 2, 0)",0.1866,0.1866,0.187
hp_percent,"(0, 0, 3, 1, 0)",0.1923,0.19229999,0.192
hp_percent,"(0, 1, 2, 0, 1)",0.1923,0.1923,0.192
hp_percent,"(0, 1, 1, 2, 0)",0.1924,0.19240001,0.192
hp_percent,"(0, 2, 0, 1, 1)",0.1924,0.19240001,0.192
hp_percent,"(0, 0, 3, 0, 1)",0.1981,0.1981,0.198
hp_percent,"(0, 0, 2, 2, 0)",0.1982,0.19819999,0.198
hp_percent,"(0, 1, 1, 1, 1)",0.1982,0.1982,0.198
hp_percent,"(0, 2, 0, 0, 2)",0.1982,0.1982,0.198
hp_percent,"(0, 1, 0, 3, 0)",0.1983,0.1983,0.198
hp_percent,"(0, 0, 2, 1, 1)",0.204,0.204,0.204
hp_percent,"(0, 1, 1, 0, 2)",0.204,0.204,0.204
hp_percent,"(0, 5, 0, 0, 0)",0.204,0.20400001,0.204
hp_percent,"(0, 0, 1, 3, 0)",0.2041,0.2041,0.204
hp_percent,"(0, 1, 0, 2, 1)",0.2041,0.2041,0.204
hp_percent,"(0, 4, 1, 0, 0)",0.2098,0.2098,0.21
hp_percent,"(0, 0, 2, 0, 2)",0.2098,0.2098,0.21
hp_percent,"(0, 1, 0, 1, 2)",0.2099,0.20989999,0.21
hp_percent,"(0, 0, 1, 2, 1)",0.2099,0.2099,0.21
hp_percent,"(0, 0, 0, 4, 0)",0.21,0.21,0.21
hp_percent,"(0, 3, 2, 0, 0)",0.2156,0.2156,0.216
hp_percent,"(0, 4, 0, 1, 0)",0.2157,0.2157,0.216
hp_percent,"(0, 0, 1, 1, 2)",0.2157,0.2157,0.216
hp_percent,"(0, 1, 0, 0, 3)",0.2157,0.2157,0.216
hp_percent,"(0, 0, 0, 3, 1)",0.2158,0.2158,0.216
hp_percent,"(0, 2, 3, 0, 0)",0.2214,0.2214,0.221
hp_percent,"(0, 3, 1, 1, 0)",0.2215,0.2215,0.222
hp_percent,"(0, 0, 1, 0, 3)",0.2215,0.2215,0.222
hp_percent,"(0, 4, 0, 0, 1)",0.2215,0.22150001,0.222
hp_percent,"(0, 0, 0, 2, 2)",0.2216,0.2216,0.222
hp_percent,"(0, 1, 4, 0, 0)",0.2272,0.2272,0.227
hp_percent,"(0, 2, 2, 1, 0)",0.2273,0.2273,0.227
hp_percent,"(0, 3, 1, 0, 1)",0.2273,0.2273,0.227
hp_percent,"(0, 0, 0, 1, 3)",0.2274,0.22739999,0.227
hp_percent,"(0, 3, 0, 2, 0)",0.2274,0.2274,0.227
hp_percent,"(0, 0, 5, 0, 0)",0.233,0.233,0.233
hp_percent,"(0, 1, 3, 1, 0)",0.2331,0.2331,0.233
hp_percent,"(0, 2, 2, 0, 1)",0.2331,0.23310001,0.233
hp_percent,"(0, 2, 1, 2, 0)",0.2332,0.23319998,0.233
hp_percent,"(0, 3, 0, 1, 1)",0.2332,0.2332,0.233
hp_percent,"(0, 0, 0, 0, 4)",0.2332,0.2332,0.233
hp_percent,"(0, 0, 4, 1, 0)",0.2389,0.23889999,0.239
hp_percent,"(0, 1, 3, 0, 1)",0.2389,0.2389,0.239
hp_percent,"(0, 1, 2, 2, 0)",0.239,0.239,0.239
hp_percent,"(0, 2, 1, 1, 1)",0.239,0.239,0.239
hp_percent,"(0, 3, 0, 0, 2)",0.239,0.239,0.239
hp_percent,"(0, 2, 0, 3, 0)",0.2391,0.23910001,0.239
hp_percent,"(0, 0, 4, 0, 1)",0.2447,0.2447,0.245
hp_percent,"(0, 6, 0, 0, 0)",0.2448,0.2448,0.245
hp_percent,"(0, 0, 3, 2, 0)",0.2448,0.2448,0.245
hp_percent,"(0, 1, 2, 1, 1)",0.2448,0.2448,0.245
hp_percent,"(0, 2, 1, 0, 2)",0.2448,0.2448,0.245
hp_percent,"(0, 1, 1, 3, 0)",0.2449,0.2449,0.245
hp_percent,"(0, 2, 0, 2, 1)",0.2449,0.2449,0.245
hp_percent,"(0, 0, 3, 1, 1)",0.2506,0.25059998,0.251
hp_percent,"(0, 5, 1, 0, 0)",0.2506,0.2506,0.251
hp_percent,"(0, 1, 2, 0, 2)",0.2506,0.2506,0.251
hp_percent,"(0, 0, 2, 3, 0)",0.2507,0.2507,0.251
hp_percent,"(0, 1, 1, 2, 1)",0.2507,0.2507,0.251
hp_percent,"(0, 2, 0, 1, 2)",0.2507,0.2507,0.251
hp_percent,"(0, 1, 0, 4, 0)",0.2508,0.25079998,0.251
hp_percent,"(0, 4, 2, 0, 0)",0.2564,0.2564,0.256
hp_percent,"(0, 0, 3, 0, 2)",0.2564,0.2564,0.256
hp_percent,"(0, 0, 2, 2, 1)",0.2565,0.25649998,0.256
hp_percent,"(0, 5, 0, 1, 0)",0.2565,0.2565,0.257
hp_percent,"(0, 1, 1, 1, 2)",0.2565,0.2565,0.257
hp_percent,"(0, 2, 0, 0, 3)",0.2565,0.2565,0.257
hp_percent,"(0, 0, 1, 4, 0)",0.2566,0.2566,0.257
hp_percent,"(0, 1, 0, 3, 1)",0.2566,0.2566,0.257
hp_percent,"(0, 3, 3, 0, 0)",0.2622,0.2622,0.262
hp_percent,"(0, 0, 2, 1, 2)",0.2623,0.26229998,0.262
hp_percent,"(0, 4, 1, 1, 0)",0.2623,0.2623,0.262
hp_percent,"(0, 5, 0, 0, 1)",0.2623,0.2623,0.262
hp_percent,"(0, 1, 1, 0, 3)",0.2623,0.2623,0.262
hp_percent,"(0, 0, 1, 3, 1)",0.2624,0.2624,0.262
hp_percent,"(0, 1, 0, 2, 2)",0.2624,0.2624,0.262
hp_percent,"(0, 0, 0, 5, 0)",0.2625,0.2625,0.263
hp_percent,"(0, 2, 4, 0, 0)",0.268,0.268,0.268
hp_percent,"(0, 3, 2, 1, 0)",0.2681,0.2681,0.268
hp_percent,"(0, 4, 1, 0, 1)",0.2681,0.2681,0.268
hp_percent,"(0, 0, 2, 0, 3)",0.2681,0.2681,0.268
hp_percent,"(0, 1, 0, 1, 3)",0.2682,0.26819998,0.268
hp_percent,"(0, 4, 0, 2, 0)",0.2682,0.2682,0.268
hp_percent,"(0, 0, 1, 2, 2)",0.2682,0.2682,0.268
hp_percent,"(0, 0, 0, 4, 1)",0.2683,0.2683,0.268
hp_percent,"(0, 1, 5, 0, 0)",0.2738,0.2738,0.274
hp_percent,"(0, 2, 3, 1, 0)",0.2739,0.2739,0.274
hp_percent,"(0, 3, 2, 0, 1)",0.2739,0.2739,0.274
hp_percent,"(0, 3, 1, 2, 0)",0.274,0.274,0.274
hp_percent,"(0, 4, 0, 1, 1)",0.274,0.274,0.274
hp_percent,"(0, 0, 1, 1, 3)",0.274,0.274,0.274
hp_percent,"(0, 1, 0, 0, 4)",0.274,0.274,0.274
hp_percent,"(0, 0, 0, 3, 2)",0.2741,0.2741,0.274
hp_percent,"(0, 0, 6, 0, 0)",0.2796,0.2796,0.28
hp_percent,"(0, 2, 3, 0, 1)",0.2797,0.27969998,0.28
hp_percent,"(0, 1, 4, 1, 0)",0.2797,0.2797,0.28
hp_percent,"(0, 2, 2, 2, 0)",0.2798,0.2798,0.28
hp_percent,"(0, 3, 1, 1, 1)",0.2798,0.2798,0.28
hp_percent,"(0, 4, 0, 0, 2)",0.2798,0.2798,0.28
hp_percent,"(0, 0, 1, 0, 4)",0.2798,0.2798,0.28
hp_percent,"(0, 0, 0, 2, 3)",0.2799,0.27989998,0.28
hp_percent,"(0, 3, 0, 3, 0)",0.2799,0.2799,0.28
hp_percent,"(0, 0, 5, 1, 0)",0.2855,0.2855,0.286
hp_percent,"(0, 1, 4, 0, 1)",0.2855,0.2855,0.286
hp_percent,"(0, 1, 3, 2, 0)",0.2856,0.2856,0.286
hp_percent,"(0, 2, 2, 1, 1)",0.2856,0.2856,0.286
hp_percent,"(0, 3, 1, 0, 2)",0.2856,0.2856,0.286
hp_percent,"(0, 2, 1, 3, 0)",0.2857,0.2857,0.286
hp_percent,"(0, 3, 0, 2, 1)",0.2857,0.2857,0.286
hp_percent,"(0, 0, 0, 1, 4)",0.2857,0.2857,0.286
hp_percent,"(0, 0, 5, 0, 1)",0.2913,0.2913,0.291
hp_percent,"(0, 0, 4, 2, 0)",0.2914,0.2914,0.291
hp_percent,"(0, 1, 3, 1, 1)",0.2914,0.2914,0.291
hp_percent,"(0, 2, 2, 0, 2)",0.2914,0.29140002,0.291
hp_percent,"(0, 2, 1, 2, 1)",0.2915,0.29149997,0.291
hp_percent,"(0, 1, 2, 3, 0)",0.2915,0.2915,0.292
hp_percent,"(0, 3, 0, 1, 2)",0.2915,0.2915,0.292
hp_percent,"(0, 0, 0, 0, 5)",0.2915,0.2915,0.292
hp_percent,"(0, 2, 0, 4, 0)",0.2916,0.2916,0.292
hp_percent,"(0, 0, 4, 1, 1)",0.2972,0.2972,0.297
hp_percent,"(0, 1, 3, 0, 2)",0.2972,0.2972,0.297
hp_percent,"(0, 0, 3, 3, 0)",0.2973,0.29729998,0.297
hp_percent,"(0, 1, 2, 2, 1)",0.2973,0.29729998,0.297
hp_percent,"(0, 2, 1, 1, 2)",0.2973,0.29729998,0.297
hp_percent,"(0, 3, 0, 0, 3)",0.2973,0.29729998,0.297
hp_percent,"(0, 1, 1, 4, 0)",0.2974,0.2974,0.297
hp_percent,"(0, 2, 0, 3, 1)",0.2974,0.2974,0.297
hp_percent,"(0, 0, 4, 0, 2)",0.303,0.303,0.303
hp_percent,"(0, 0, 3, 2, 1)",0.3031,0.3031,0.303
hp_percent,"(0, 1, 2, 1, 2)",0.3031,0.3031,0.303
hp_percent,"(0, 2, 1, 0, 3)",0.3031,0.3031,0.303
hp_percent,"(0, 0, 2, 4, 0)",0.3032,0.3032,0.303
hp_percent,"(0, 1, 1, 3, 1)",0.3032,0.3032,0.303
hp_percent,"(0, 2, 0, 2, 2)",0.3032,0.3032,0.303
hp_percent,"(0, 1, 0, 5, 0)",0.3033,0.3033,0.303
hp_percent,"(0, 0, 3, 1, 2)",0.3089,0.3089,0.309
hp_percent,"(0, 1, 2, 0, 3)",0.3089,0.3089,0.309
hp_percent,"(0, 0, 2, 3, 1)",0.309,0.309,0.309
hp_percent,"(0, 1, 1, 2, 2)",0.309,0.30900002,0.309
