Name,Tuples,Data,Data-Original,display,difference,unique value,unique falsify
attack_percent,"(0, 0, 2, 0, 1)",0.1515,0.1515,0.152,N,"N:0.1516 (0, 0, 1, 2, 0)",Y
attack_percent,"(0, 0, 0, 3, 0)",0.1575,0.1575,0.158,N,Y,"N:0.1574 (0, 0, 1, 1, 1)"
attack_percent,"(0, 1, 2, 1, 0)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 2, 0, 2, 0)","N:0.1864 (0, 0, 4, 0, 0)"
attack_percent,"(0, 2, 1, 0, 1)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 2, 0, 2, 0)","N:0.1864 (0, 0, 4, 0, 0)"
attack_percent,"(0, 3, 1, 1, 0)",0.2215,0.2215,0.222,N,"N:0.2216 (0, 0, 0, 2, 2)","N:0.2214 (0, 2, 3, 0, 0)"
attack_percent,"(0, 0, 1, 0, 3)",0.2215,0.2215,0.222,N,"N:0.2216 (0, 0, 0, 2, 2)","N:0.2214 (0, 2, 3, 0, 0)"
attack_percent,"(0, 4, 0, 0, 1)",0.2215,0.22150001,0.222,N,"N:0.2216 (0, 0, 0, 2, 2)","N:0.2214 (0, 2, 3, 0, 0)"
attack_percent,"(0, 0, 2, 2, 1)",0.2565,0.25649998,0.257,Y*,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
attack_percent,"(0, 5, 0, 1, 0)",0.2565,0.2565,0.257,Y,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
attack_percent,"(0, 1, 1, 1, 2)",0.2565,0.2565,0.257,Y,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
attack_percent,"(0, 2, 0, 0, 3)",0.2565,0.2565,0.257,Y,"N:0.2566 (0, 0, 1, 4, 0)","N:0.2564 (0, 4, 2, 0, 0)"
attack_percent,"(0, 0, 0, 5, 0)",0.2625,0.2625,0.263,Y,Y,"N:0.2622 (0, 3, 3, 0, 0)"
attack_percent,"(0, 0, 5, 1, 0)",0.2855,0.2855,0.286,N,"N:0.2856 (0, 1, 3, 2, 0)",Y
attack_percent,"(0, 1, 4, 0, 1)",0.2855,0.2855,0.286,N,"N:0.2856 (0, 1, 3, 2, 0)",Y
attack_percent,"(0, 2, 1, 2, 1)",0.2915,0.29149997,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
attack_percent,"(0, 1, 2, 3, 0)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
attack_percent,"(0, 3, 0, 1, 2)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
attack_percent,"(0, 0, 0, 0, 5)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 2, 0, 4, 0)","N:0.2913 (0, 0, 5, 0, 1)"
attack_percent,"(0, 0, 1, 2, 3)",0.3265,0.3265,0.327,Y,"N:0.3266 (0, 0, 0, 4, 2)","N:0.3264 (0, 0, 2, 0, 4)"
attack_percent,"(0, 1, 0, 1, 4)",0.3265,0.3265,0.327,Y,"N:0.3266 (0, 0, 0, 4, 2)","N:0.3264 (0, 0, 2, 0, 4)"
defence_percent,"(0, 0, 0, 1, 1)",0.1385,0.1385,0.139,Y,Y,Y
defence_percent,"(0, 0, 1, 2, 0)",0.1895,0.1895,0.19,N,Y,Y
defence_percent,"(0, 0, 2, 0, 1)",0.1895,0.1895,0.19,N,Y,Y
defence_percent,"(0, 1, 0, 1, 1)",0.1895,0.1895,0.19,N,Y,Y
defence_percent,"(0, 0, 3, 1, 0)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 1, 2, 0)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 1, 2, 0, 1)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 2, 0, 1, 1)",0.2405,0.2405,0.241,Y,Y,Y
defence_percent,"(0, 0, 5, 0, 0)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 0, 0, 0, 4)",Y
defence_percent,"(0, 1, 3, 1, 0)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 0, 0, 0, 4)",Y
defence_percent,"(0, 2, 1, 2, 0)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 0, 0, 0, 4)",Y
defence_percent,"(0, 2, 2, 0, 1)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 0, 0, 0, 4)",Y
defence_percent,"(0, 3, 0, 1, 1)",0.2915,0.2915,0.292,N,"N:0.2916 (0, 0, 0, 0, 4)",Y
defence_percent,"(0, 1, 5, 0, 0)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 2, 3, 1, 0)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 3, 1, 2, 0)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 3, 2, 0, 1)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 4, 0, 1, 1)",0.3425,0.3425,0.343,Y,"N:0.3426 (0, 0, 0, 3, 2)",Y
defence_percent,"(0, 0, 0, 0, 5)",0.3645,0.3645,0.365,Y,Y,"N:0.3644 (0, 0, 4, 2, 0)"
defence_percent,"(0, 0, 0, 3, 3)",0.4155,0.4155,0.416,N,Y,Y
defence_percent,"(0, 0, 1, 1, 4)",0.4155,0.4155,0.416,N,Y,Y
defence_percent,"(0, 1, 0, 0, 5)",0.4155,0.4155,0.416,N,Y,Y
charge_efficiency,"(0, 5, 0, 0, 0)",0.2265,0.2265,0.227,Y,"N:0.2267 (0, 0, 1, 3, 0)",Y
charge_efficiency,"(0, 3, 2, 0, 0)",0.2395,0.23949999,0.24,N,"N:0.2397 (0, 0, 0, 3, 1)","N:0.2395 (0, 3, 2, 0, 0)"
charge_efficiency,"(0, 4, 0, 1, 0)",0.2395,0.2395,0.24,N,"N:0.2397 (0, 0, 0, 3, 1)","N:0.2395 (0, 3, 2, 0, 0)"
charge_efficiency,"(0, 1, 4, 0, 0)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 2, 2, 1, 0)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 3, 0, 2, 0)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 3, 1, 0, 1)",0.2525,0.2525,0.253,Y,"N:0.2527 (0, 0, 0, 1, 3)",Y
charge_efficiency,"(0, 0, 4, 1, 0)",0.2655,0.2655,0.266,N,Y,Y
charge_efficiency,"(0, 1, 2, 2, 0)",0.2655,0.2655,0.266,N,Y,Y
charge_efficiency,"(0, 2, 0, 3, 0)",0.2655,0.2655,0.266,N,Y,Y
charge_efficiency,"(0, 1, 3, 0, 1)",0.2655,0.2655,0.266,N,Y,Y
charge_efficiency,"(0, 2, 1, 1, 1)",0.2655,0.2655,0.266,N,Y,Y
charge_efficiency,"(0, 3, 0, 0, 2)",0.2655,0.2655,0.266,N,Y,Y
charge_efficiency,"(0, 0, 2, 3, 0)",0.2785,0.2785,0.279,Y,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 1, 0, 4, 0)",0.2785,0.2785,0.279,Y,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 1, 1, 2, 1)",0.2785,0.2785,0.279,Y,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 0, 3, 1, 1)",0.2785,0.27850002,0.279,Y*,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 1, 2, 0, 2)",0.2785,0.27850002,0.279,Y*,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 2, 0, 1, 2)",0.2785,0.27850002,0.279,Y*,Y,"N:0.2783 (0, 5, 1, 0, 0)"
charge_efficiency,"(0, 0, 0, 5, 0)",0.2915,0.2915,0.292,N,Y,"N:0.2913 (0, 3, 3, 0, 0)"
charge_efficiency,"(0, 0, 1, 3, 1)",0.2915,0.2915,0.292,N,Y,"N:0.2913 (0, 3, 3, 0, 0)"
charge_efficiency,"(0, 0, 2, 1, 2)",0.2915,0.2915,0.292,N,Y,"N:0.2913 (0, 3, 3, 0, 0)"
charge_efficiency,"(0, 1, 0, 2, 2)",0.2915,0.2915,0.292,N,Y,"N:0.2913 (0, 3, 3, 0, 0)"
charge_efficiency,"(0, 1, 1, 0, 3)",0.2915,0.29150003,0.292,N,Y,"N:0.2913 (0, 3, 3, 0, 0)"
charge_efficiency,"(0, 0, 0, 3, 2)",0.3045,0.30449998,0.305,Y*,Y,"N:0.3043 (0, 3, 1, 2, 0)"
charge_efficiency,"(0, 0, 1, 1, 3)",0.3045,0.3045,0.305,Y,Y,"N:0.3043 (0, 3, 1, 2, 0)"
charge_efficiency,"(0, 1, 0, 0, 4)",0.3045,0.3045,0.305,Y,Y,"N:0.3043 (0, 3, 1, 2, 0)"
charge_efficiency,"(0, 0, 0, 1, 4)",0.3175,0.3175,0.318,N,Y,"N:0.3173 (0, 0, 5, 1, 0)"
critical,"(0, 2, 1, 0, 0)",0.0855,0.0855,0.086,N,Y,Y
critical,"(0, 1, 3, 0, 0)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 2, 1, 1, 0)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 3, 0, 0, 1)",0.1205,0.1205,0.121,Y,Y,Y
critical,"(0, 0, 5, 0, 0)",0.1555,0.1555,0.156,N,"N:0.1556 (0, 0, 0, 0, 4)",Y
critical,"(0, 1, 3, 1, 0)",0.1555,0.1555,0.156,N,"N:0.1556 (0, 0, 0, 0, 4)",Y
critical,"(0, 2, 1, 2, 0)",0.1555,0.1555,0.156,N,"N:0.1556 (0, 0, 0, 0, 4)",Y
critical,"(0, 2, 2, 0, 1)",0.1555,0.1555,0.156,N,"N:0.1556 (0, 0, 0, 0, 4)",Y
critical,"(0, 3, 0, 1, 1)",0.1555,0.15550001,0.156,N,"N:0.1556 (0, 0, 0, 0, 4)",Y
critical,"(0, 0, 5, 1, 0)",0.1905,0.19049999,0.191,Y*,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 1, 3, 2, 0)",0.1905,0.19049999,0.191,Y*,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 3, 1, 0, 2)",0.1905,0.19049999,0.191,Y*,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 2, 1, 3, 0)",0.1905,0.1905,0.191,Y,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 1, 4, 0, 1)",0.1905,0.1905,0.191,Y,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 2, 2, 1, 1)",0.1905,0.1905,0.191,Y,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 3, 0, 2, 1)",0.1905,0.1905,0.191,Y,"N:0.1906 (0, 0, 0, 1, 4)","N:0.1905 (0, 0, 5, 1, 0)"
critical,"(0, 0, 0, 0, 5)",0.1945,0.1945,0.195,Y,Y,"N:0.1944 (0, 0, 4, 2, 0)"
critical,"(0, 0, 0, 1, 5)",0.2295,0.2295,0.23,N,Y,Y
critical_hurt,"(0, 1, 1, 1, 0)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 0, 3, 0, 0)",Y
critical_hurt,"(0, 2, 0, 0, 1)",0.1865,0.1865,0.187,Y,"N:0.1866 (0, 0, 3, 0, 0)",Y
critical_hurt,"(0, 0, 0, 2, 1)",0.2175,0.2175,0.218,N,"N:0.2176 (0, 0, 1, 0, 2)",Y
critical_hurt,"(0, 0, 3, 1, 0)",0.2565,0.2565,0.257,Y,Y,"N:0.2564 (0, 1, 1, 2, 0)"
critical_hurt,"(0, 1, 2, 0, 1)",0.2565,0.2565,0.257,Y,Y,"N:0.2564 (0, 1, 1, 2, 0)"
critical_hurt,"(0, 4, 0, 1, 0)",0.2875,0.2875,0.288,N,"N:0.2876 (0, 3, 2, 0, 0)","N:0.2874 (0, 0, 0, 3, 1)"
critical_hurt,"(0, 0, 1, 1, 2)",0.2875,0.2875,0.288,N,"N:0.2876 (0, 3, 2, 0, 0)","N:0.2874 (0, 0, 0, 3, 1)"
critical_hurt,"(0, 1, 0, 0, 3)",0.2875,0.2875,0.288,N,"N:0.2876 (0, 3, 2, 0, 0)","N:0.2874 (0, 0, 0, 3, 1)"
critical_hurt,"(0, 2, 0, 3, 0)",0.3185,0.31849998,0.319,Y*,"N:0.3186 (0, 1, 2, 2, 0)","N:0.3185 (0, 2, 0, 3, 0)"
critical_hurt,"(0, 0, 4, 0, 1)",0.3265,0.3265,0.327,Y,Y,"N:0.3263 (0, 1, 1, 3, 0)"
critical_hurt,"(0, 0, 0, 5, 0)",0.3495,0.3495,0.35,N,"N:0.3496 (0, 0, 1, 3, 1)",Y
critical_hurt,"(0, 4, 1, 0, 1)",0.3575,0.3575,0.358,N,"N:0.3576 (0, 2, 4, 0, 0)","N:0.3573 (0, 0, 0, 4, 1)"
critical_hurt,"(0, 0, 2, 0, 3)",0.3575,0.3575,0.358,N,"N:0.3576 (0, 2, 4, 0, 0)","N:0.3573 (0, 0, 0, 4, 1)"
critical_hurt,"(0, 3, 2, 1, 0)",0.3575,0.35750002,0.358,N,"N:0.3576 (0, 2, 4, 0, 0)","N:0.3573 (0, 0, 0, 4, 1)"
critical_hurt,"(0, 1, 2, 3, 0)",0.3885,0.38849998,0.389,Y*,"N:0.3886 (0, 0, 4, 2, 0)","N:0.3884 (0, 2, 0, 4, 0)"
critical_hurt,"(0, 3, 0, 1, 2)",0.3885,0.38849998,0.389,Y*,"N:0.3886 (0, 0, 4, 2, 0)","N:0.3884 (0, 2, 0, 4, 0)"
critical_hurt,"(0, 0, 0, 0, 5)",0.3885,0.38849998,0.389,Y*,"N:0.3886 (0, 0, 4, 2, 0)","N:0.3884 (0, 2, 0, 4, 0)"
critical_hurt,"(0, 2, 1, 2, 1)",0.3885,0.3885,0.389,Y,"N:0.3886 (0, 0, 4, 2, 0)","N:0.3884 (0, 2, 0, 4, 0)"
critical_hurt,"(0, 0, 1, 4, 1)",0.4195,0.4195,0.42,N,"N:0.4196 (0, 2, 0, 0, 4)","N:0.4194 (0, 0, 0, 6, 0)"
critical_hurt,"(0, 1, 0, 3, 2)",0.4195,0.4195,0.42,N,"N:0.4196 (0, 2, 0, 0, 4)","N:0.4194 (0, 0, 0, 6, 0)"
